set_id,arm,seed,model,garment,identity,scene,clean,hands,realism,note,seconds,tokens_in,tokens_out
p020+dualuse_navy_peacoat_onmodel,FAL,46,gpt-5.5,3,4,5,4,5,4,"Dark double-breasted coat is roughly similar, but the gray turtleneck and full reference styling/details are missing; identity and scene are mostly preserved with minor texture/detail softness.",9.02,2018,441
p028+g015,FAL,46,gpt-5.5,1,4,4,2,3,3,"Output does not match the reference slip dress: it is a tight black sleeveless/tank-like garment and leaves the original brown sleeves on the raised arms. Identity and pose/background are mostly preserved, but there are visible garment/arm artifacts and the hands are only moderately convincing.",7.2,1671,323
p020+p021,FAL,46,gpt-5.5,4,4,5,4,3,4,"Reference mustard knit top and light jeans are mostly transferred, though cut/details are not exact and lower outfit is cropped. Person, pose, and market background are well preserved. Minor texture/hand ambiguity around the face.",9.56,1816,418
p026+g013,FAL,46,gpt-5.5,4,4,5,4,4,4,"Reference dress is reproduced well in color, floral banding and maxi cut, though not perfectly exact in pattern/structure. Person, pose, bag, shoes and outdoor scene are largely preserved. Minor texture/edge issues and slightly imperfect hands, but overall photorealistic.",9.06,1671,400
p030+dualuse_queen_latifah_gown_stage,FAL,46,gpt-5.5,3,4,3,3,3,4,"Reference outfit is approximated with tan patterned robe and black inner layer, but cut, collar, cuffs and details are not exact. Identity and plain background are mostly preserved, though pose/hand placement changes. Some fabric and hand artifacts remain.",9.95,1555,455
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,FAL,47,gpt-5.5,3,4,5,4,4,4,"Black fitted dress with straps, belt and texture is broadly similar, but it is not the exact reference cut/details and rear zipper/slit cannot be represented from the original pose. Identity and studio scene are mostly preserved; minor accessory/seam artifacts.",9.14,1613,384
p030+g024,FAL,46,gpt-5.5,2,5,5,3,4,4,"Reference outfit is only partially captured: striped sweater sleeves and blue pleats appear, but the sweater body/cut is missing and the skirt is transformed into an odd high-neck pleated top. Identity, pose, and background are well preserved, with some seam/collar artifacts.",11.69,1786,542
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,FAL,47,gpt-5.5,2,5,5,4,4,4,"Garment keeps the white tailored blazer idea but misses key reference details: cropped jacket, wrap waistband, exposed midriff, and long skirt are replaced by a full blazer and trousers. Identity, pose, and background are largely preserved; image is mostly clean and realistic.",5.81,1555,254
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,FAL,47,gpt-5.5,3,5,5,4,4,5,"Reference outfit is mostly transferred with navy double-breasted coat, dark jeans, cuffs and boots, but the gray turtleneck is missing and the coat cut/proportions are altered. Identity, pose, and background are well preserved; minor softness/artifacts around hands and textures.",7.84,1786,353
g004+g005,FAL,47,gpt-5.5,2,4,4,2,4,2,"Reference sports shirt and shorts are partially transferred, but original olive trousers and bag remain, creating an incorrect hybrid outfit with impossible layering. Face and hair are mostly preserved, pose/background largely unchanged, but lower-body artifacts reduce cleanliness and realism.",8.42,1845,333
dualuse_navy_peacoat_onmodel+g030,FAL,47,gpt-5.5,2,4,5,3,4,3,"Gold sequin look is captured, but the reference is a collared sequin shirt/jacket while the output becomes a structured blazer with different details and altered trousers. Identity, pose, and background are mostly preserved, with some AI softness and texture artifacts.",9.16,2248,407
dualuse_lp_plaid_overcoat_brown_suit+g029,FAL,47,gpt-5.5,2,4,3,4,3,4,"Houndstooth color/pattern is roughly captured, but the reference is a short fitted blazer while the result becomes a much longer coat and changes styling. Face and background are mostly preserved, but pose/arms differ and visible hand details are slightly awkward.",9.33,1845,467
dualuse_lp_floral_kimono_set+g005,FAL,47,gpt-5.5,2,4,4,3,4,3,"Reference sports shirt and shorts are only partially transferred; original floral robe, bag, sandals, and patterned fabric remain, with some distorted logo/foot fabric artifacts. Face, hat, pose, and plain background are mostly preserved.",9.57,1903,435
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,FAL,47,gpt-5.5,3,5,5,4,4,5,"Garment captures the black tank and denim mini skirt concept but the skirt color is lighter blue than the teal reference, front zipper/detailing is not visible, and shoes are not matched. Identity, pose, and background are preserved well. Minor artifacts around shoe straps/hand, otherwise realistic.",9.97,1555,442
g014+g029,FAL,47,gpt-5.5,3,5,5,4,4,4,"Blazer and white top resemble the reference, but the generated outfit replaces the reference black pants/belt with a matching houndstooth skirt, so it is not the exact full garment set. Identity, pose, and background are well preserved; minor texture/pattern and hand issues.",7.74,1845,380
g005+g014,FAL,47,gpt-5.5,3,5,5,3,4,3,"Reference blue slip dress is recognizable but lacks exact bust gathering/drape and has odd lower transparency. Identity, pose, and plain studio background are mostly preserved; minor artifacts in fabric/skin reduce cleanliness and realism.",10.28,1903,475
p001+p014,FAL,47,gpt-5.5,4,5,5,4,4,5,"White crew-neck tee is close to the reference, including simple cut and necklace, but fit/drape differs and it is less like the loose tucked reference. Identity, pose, and studio background are preserved. Minor texture/edge issues around shirt and feet/hands, but overall realistic.",9.59,1555,355
dualuse_lp_floral_kimono_set+g024,FAL,47,gpt-5.5,3,4,4,3,4,3,"Sweater and blue pleated skirt are recognizable, but proportions differ and reference white sneakers are missing; identity and pose are mostly preserved, with some odd layering/artifacts around the lower body.",9.69,4071,963
g018+g024,FAL,47,gpt-5.5,4,5,5,4,4,4,"Reference outfit is mostly matched with black striped sweater and light blue pleated skirt, though stripe placement/cut and skirt structure are not exact. Identity, pose, and plain background are well preserved. Minor texture artifacts and slight hand awkwardness, but overall realistic.",11.83,2018,532
g024+p002,FAL,47,gpt-5.5,2,4,3,3,3,4,"Black shirt, pants and sneakers are partially transferred, but the original blue skirt remains, so the reference outfit is not fully matched. Identity and background are mostly preserved, but pose/arms changed and the rear hand looks awkward.",12.33,2017,526
p003+p026,FAL,47,gpt-5.5,3,4,4,4,3,4,"Tracksuit color and stripe concept are close, but the top cut/collar differs, side stripes and accessories are missing, and shoes are only approximate. Identity and background are mostly preserved; minor hand and foot/shoe artifacts reduce quality.",9.29,1613,427
g027+p003,FAL,47,gpt-5.5,2,4,5,3,5,3,"Burgundy sleeveless dress shape is only partially matched; it incorrectly retains the original Ramones graphic and has a different neckline/fit. Identity and pose/background are mostly preserved, hands are hidden, but garment texture and print artifacts reduce cleanliness and realism.",8.17,2977,705
p015+dualuse_zendaya_white_blazer_skirt,FAL,47,gpt-5.5,2,4,5,4,4,4,"White blazer color is captured, but the reference is a cropped blazer with matching long skirt/wrap; generated result becomes a longer white jacket/suit and omits key garment pieces and cut. Identity, pose, and background are mostly preserved with minor sleeve/texture issues.",6.97,1555,290
p011+p016,FAL,47,gpt-5.5,4,4,5,4,4,4,"The pale yellow sleeveless dress with flared skirt and white underskirt is mostly matched, though details are simplified and the full garment is cropped. Identity and pose/background are largely preserved, with some smoothing and minor hand/skin artificiality.",11.38,1555,553
g029+p004,FAL,47,gpt-5.5,1,4,5,3,4,3,"Output does not match the reference white short-sleeve henley/V-neck shirt; it keeps the original houndstooth blazer and adds mismatched pale sleeves. Person pose/background are largely unchanged, with mostly intact identity, but garment integration has visible artifacts.",7.41,3384,918
p015+p016,FAL,47,gpt-5.5,3,4,5,4,3,4,"Reference is a pale yellow sleeveless dress with white ruffle hem; output captures the general color and sleeveless flared shape but not the full cut/details. Face, hat, pose and background are largely preserved. Some hand/finger anatomy and garment integration are slightly imperfect.",11.01,1555,421
p019+dualuse_gal_gadot_blue_dress_redcarpet,FAL,47,gpt-5.5,2,4,5,2,2,3,"Color and one-shoulder idea are somewhat close, but the reference gown's full cut, waist cutout, slit, and drape are not reproduced, and remnants of the original jacket/collar/cuffs remain. Identity and pose/background are mostly preserved, but there are visible garment and hand artifacts.",7.92,1469,400
p020+p021,FAL,47,gpt-5.5,3,4,5,4,4,4,"Garment color and knit texture are close, but the cut/details are not exact and only part of the reference outfit is represented. Identity, pose, and background are largely preserved; minor blending/artifact issues around the hand and clothing edges.",8.77,1816,393
p020+dualuse_navy_peacoat_onmodel,FAL,47,gpt-5.5,2,5,5,4,4,4,"Dark coat color is close, but reference details are missing or unclear: grey turtleneck, double-breasted cut/buttons, jeans cuffs and boots are not faithfully reproduced. Identity, pose and background are well preserved; minor seam/texture softness and hand blending.",9.68,2018,477
p025+dualuse_zendaya_white_blazer_skirt,FAL,47,gpt-5.5,2,4,5,4,3,4,"Output captures a white cropped blazer feel but changes the reference skirt into trousers and alters the cut/waist details. Identity, pose, and background are mostly preserved; minor hand and garment-shape artifacts remain.",7.28,1671,308
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,FAL,47,gpt-5.5,4,5,5,4,4,4,"The navy cable-knit sweater and gray trousers are close to the reference, but some details like the visible half-zip/underlayer, pleats, shoes, and bag are missing or not represented. Identity, pose, and background are well preserved; minor texture and hand imperfections remain.",7.48,3262,687
p011+p024,FAL,47,gpt-5.5,2,4,5,3,3,3,"The output approximates a gray striped shirt and gray trousers but does not exactly match the reference garment, and it incorrectly keeps the chef hat and glasses. Identity, pose, and plain background are mostly preserved from image 1. Some fabric, face, and hand details look AI-generated.",6.63,4738,1060
p030+g024,FAL,47,gpt-5.5,2,4,5,3,4,3,"Reference colors/stripes and blue pleats appear, but the outfit is assembled incorrectly: the blue skirt fabric is placed up at the torso/neck and the sweater body/cut is wrong. Identity and background/pose are mostly preserved, with some unnatural garment seams and texture around the neck and arms.",7.56,1786,402
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,FAL,48,gpt-5.5,3,4,5,4,4,4,"Top color and cropped blazer style are close, but the reference includes a long white skirt while the output uses trousers and alters some waist details. Identity, pose, and background are largely preserved; minor garment/waist artifacts but overall photorealistic.",6.81,1555,314
p028+g015,FAL,47,gpt-5.5,2,4,5,3,3,3,"Garment is dark like the reference but the slip dress is inaccurate: straps/cut and satin drape are not faithfully reproduced, and the full maxi shape is not visible. Identity, pose, and background are mostly preserved. Some artifacts appear around the arms, seams, and hand area.",7.67,3378,744
p030+dualuse_queen_latifah_gown_stage,FAL,47,gpt-5.5,3,4,4,3,3,4,"The tan embroidered robe and black inner garment are recognizable but not exact in cut, pattern placement, or layering. Identity and background are mostly preserved, with slight pose/face changes. Some seam/texture distortion and mildly awkward hands reduce cleanliness.",5.69,4734,1262
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,FAL,48,gpt-5.5,3,5,4,4,4,4,"Output captures the navy double-breasted coat, dark jeans, cuffs, and boots, but misses the gray turtleneck and some reference garment details/fit. Identity and background are well preserved; minor texture and hand/edge imperfections remain.",6.67,1786,327
g004+g005,FAL,48,gpt-5.5,2,4,4,2,4,3,"Reference outfit is only partially transferred: shirt and shorts are recognizable, but one original green trouser leg remains and the lower body is inconsistent. Identity and studio background are mostly preserved, with some leg/texture artifacts reducing realism.",7.89,1845,314
dualuse_lp_floral_kimono_set+g005,FAL,48,gpt-5.5,2,4,4,3,4,3,"Reference athletic shirt and shorts are partially present, but the original patterned robe/bag remain, shoes are wrong, shorts details/logos are missing, and there are texture artifacts on the leg. Face, hat, pose, and plain studio background are mostly preserved.",9.86,1903,426
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,FAL,48,gpt-5.5,3,5,5,4,4,4,"Generated outfit captures the black top and denim mini skirt idea, but the top straps/cut and skirt details are not exact and shoes remain from the original. Identity, pose, and background are well preserved. Minor hand/edge artifacts but overall realistic.",10.07,1555,431
g005+g014,FAL,48,gpt-5.5,3,4,4,4,4,4,"Blue spaghetti-strap dress is similar in color and bodice to the reference, but the generated garment has a high-low hem/front opening unlike the straight midi slip dress. Identity, pose, and plain background are mostly preserved; hands and overall rendering look fairly clean and realistic.",4.21,3844,440
dualuse_lp_floral_kimono_set+g024,FAL,48,gpt-5.5,2,4,4,3,3,3,"Reference sweater and blue pleated skirt are partially transferred, but original floral cuffs/bag/sandals remain and sneakers are missing; garment details are fused and inconsistent. Identity and studio background are mostly preserved, with some hand/texture artifacts.",13.02,2018,488
g014+g029,FAL,48,gpt-5.5,3,5,5,4,4,4,"Blazer, white top, and houndstooth pattern are close, but the reference has black pants and belt while the output incorrectly creates a matching houndstooth skirt. Identity, pose, and background are well preserved. Minor texture/pattern irregularities, hands mostly fine.",7.02,1845,300
dualuse_navy_peacoat_onmodel+g030,FAL,48,gpt-5.5,2,4,4,3,3,3,"Gold sequin collared top is broadly captured, but cut/details and styling differ, with wrong underlayer and pants added. Identity and pose/background are mostly preserved. Some texture/seam artifacts and slightly unnatural hands reduce cleanliness and realism.",2.01,4535,591
g018+g024,FAL,48,gpt-5.5,3,5,5,3,4,4,"Sweater and blue skirt are broadly matched, but stripe placement/texture and skirt pleating/cut differ, with some warped knit/hem artifacts. Identity, pose, and plain studio background are well preserved. Hands are mostly plausible.",7.11,2018,354
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,FAL,48,gpt-5.5,3,4,5,4,4,4,"Output captures a black textured strappy dress and jewelry but not the full reference cut/details, especially the back zipper/slit and exact structure. Identity and pose/background are largely preserved; minor AI smoothness and slight hand/jewelry artifacts.",10.16,1613,417
g004+g005,FAL,46,gpt-5.5,3,4,4,2,4,3,"Reference outfit is mostly transferred, but shorts/shirt fit and details are not exact and there is a leftover green trouser-like artifact between the legs. Face and hair are close to the original, pose/background largely unchanged. Hands look mostly acceptable, but the artifact and compositing reduce cleanliness and realism.",10.17,1845,402
p013+dualuse_scarlett_johansson_black_dress_backview_night,FAL,47,gpt-5.5,3,5,5,4,4,4,"Black thin-strap garment is broadly similar in color/style but does not capture the reference dress details like back cut, zipper/slit, full length, or exact structure. Identity, pose, and background are well preserved; minor smoothing/artifact issues around arms/hands and garment edges.",10.18,1555,405
p025+dualuse_zendaya_white_blazer_skirt,FAL,46,gpt-5.5,2,4,4,3,3,4,"The white cropped jacket is somewhat similar, but the reference has a long white skirt and wrap waist while the result becomes wide white pants with leftover peplum/skirt-like artifacts. Identity and background are mostly preserved. Some issues appear around the garment edges, hand detail, and rear foot/shoe.",10.49,1671,409
dualuse_lp_plaid_overcoat_brown_suit+g029,FAL,46,gpt-5.5,2,4,4,3,4,4,"The houndstooth color and print are close, but the reference is a shorter blazer while the result becomes a long coat/blazer hybrid with altered sleeve and hem structure. Identity and studio scene are mostly preserved, though the arm/hand pose changes. Some pattern warping and seam oddities reduce cleanliness.",12.73,1845,584
g029+p004,FAL,46,gpt-5.5,3,4,4,4,4,4,"The white henley shirt is approximated with the correct color and buttoned V-neck, but it is partly altered/obscured by the retained blazer and not an exact match to the reference fit. Identity and pose/background are mostly preserved, with minor crop/face changes. Overall clean and realistic, though hands and textures have slight AI softness.",12.76,1671,622
p026+g013,FAL,47,gpt-5.5,4,4,5,4,4,4,"Dress matches the reference pattern, colors, short sleeves and tiered shape fairly well, though not perfectly exact in fit and pattern placement. Person, pose, bag, phone and background are largely preserved. Minor texture/pattern warping and slight hand blur, but overall realistic.",13.12,1671,528
p011+p016,FAL,46,gpt-5.5,4,4,4,4,4,4,"Dress color and silhouette mostly match the reference, including pale yellow flared skirt and white underskirt, though details/length are not exact and shoes are missing. Face and pose/background are mostly preserved, but body/framing changed and some AI smoothness remains.",13.31,1555,524
g024+p002,FAL,48,gpt-5.5,2,5,5,4,3,4,"Black T-shirt and sneakers resemble parts of the reference, but the reference black pants are missing and the blue skirt remains. Identity, pose, and studio background are well preserved; minor hand/artifact issues.",5.94,2017,319
g029+p004,FAL,48,gpt-5.5,2,4,5,4,3,4,"Generated keeps the original blazer and changes the inner shirt to a light blue polo/henley, but the reference garment is a white short-sleeve shirt, so color and exact garment match are off. Pose/background are essentially unchanged; identity mostly preserved. Minor artifacts around shirt edges and partially visible hand.",7.54,1671,404
p001+p014,FAL,48,gpt-5.5,4,5,5,4,4,5,"Plain white crewneck T-shirt is close to the reference, though fit/drape and sleeve details differ somewhat. Identity, pose, and studio background are preserved. Minor texture/detail softness but overall realistic.",6.01,1555,269
g027+p003,FAL,48,gpt-5.5,3,4,4,4,5,4,"Burgundy sleeveless gathered dress is close in color and general style, but neckline/cut differ from the reference and the full garment length is not visible. Identity, pose, and white background are mostly preserved; hands are hidden. Minor texture/seam artificiality.",10.27,1470,467
p011+p016,FAL,48,gpt-5.5,3,4,5,4,4,4,"The generated outfit resembles the reference pale yellow sleeveless dress with a flared skirt and white ruffled hem, but the cut/proportions and details are not exact. Identity, pose, and studio background are mostly preserved. Minor arm/hand blending and texture issues, but overall fairly realistic.",8.96,1555,409
dualuse_lp_plaid_overcoat_brown_suit+g029,FAL,48,gpt-5.5,2,4,3,4,4,4,"Houndstooth pattern and white top are captured, but the blazer cut is transformed into a much longer coat and the outfit is mixed with the original brown trousers. Face and setting are mostly preserved, though pose/arms change. Some minor AI texture and hand/accessory issues.",11.92,1845,570
p003+p026,FAL,48,gpt-5.5,3,4,5,3,3,4,"Outfit captures the black tracksuit with red/green striping but changes details like collar/cut, shoe style, missing accessories, and leaves maroon dress-like remnants behind the legs. Identity and background are mostly preserved; hands and lower garment areas have some artifacts.",10.09,1613,443
p011+p024,FAL,48,gpt-5.5,2,4,3,1,1,2,"Garment only loosely matches the gray striped reference and retains unrelated chef hat/glasses; identity is mostly preserved. Background and pose are similar, but there is a severe extra disembodied hand/arm artifact and other texture issues, hurting cleanliness and realism.",10.47,1555,471
p013+dualuse_scarlett_johansson_black_dress_backview_night,FAL,48,gpt-5.5,3,4,5,3,3,4,"Black sleeveless dress is broadly similar but not an exact match to the reference cut/details, and only the upper portion is shown. Identity, pose, hat, glasses, and plain background are mostly preserved. Some artifacts appear around crossed arms, wrists, and partially visible hands; overall still fairly photo-realistic.",8.27,1555,435
p015+p016,FAL,48,gpt-5.5,2,4,5,4,4,4,"The garment matches the pale yellow color and sleeveless idea but does not accurately reproduce the reference dress shape, thin straps, skirt, or lace hem. Identity, pose, and background are largely preserved, with minor garment-edge artifacts and mostly realistic hands.",6.93,1555,310
p015+dualuse_zendaya_white_blazer_skirt,FAL,48,gpt-5.5,2,4,5,4,4,4,"White blazer style is captured, but the reference cropped jacket and long wrap skirt are not accurately reproduced; the outfit is adapted into a different covered suit-like look. Person, pose, and background are largely preserved. Hands are mostly plausible with minor oddness.",7.89,1555,348
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,FAL,48,gpt-5.5,4,5,5,4,4,4,"Reference sweater, trousers and bag are largely reproduced, though the underlayer/zip details and bag integration are not exact. Identity, pose and background are well preserved; minor texture and hand/strap artifacts remain.",8.73,1613,408
p020+dualuse_navy_peacoat_onmodel,FAL,48,gpt-5.5,3,5,5,4,4,4,"Dark double-breasted coat is approximated, but the gray turtleneck and full outfit details from the reference are not visible. Identity, pose, and background are well preserved; hand and coat edges have minor softness but overall realistic.",8.02,2018,303
p025+dualuse_zendaya_white_blazer_skirt,FAL,48,gpt-5.5,2,4,3,3,3,4,"White cropped blazer is approximated, but the reference skirt/wrap silhouette is changed into pants and details are missing. Identity and background are mostly preserved, though pose and lower body differ. Some smoothing/blending around clothing, shoes, and hand.",6.9,1671,320
p019+dualuse_gal_gadot_blue_dress_redcarpet,FAL,48,gpt-5.5,3,5,5,4,2,4,"Blue one-shoulder look and color are captured, but the full reference gown details like waist cutout, draped skirt and slit are not represented/visible, and the fabric/cut differs. Identity, pose and background are well preserved. Hands are visibly awkward/fused, though overall image is fairly realistic.",10.23,1469,445
p026+g013,FAL,48,gpt-5.5,4,5,5,4,4,4,"The dress closely matches the reference colors, floral banding, short sleeves, and maxi cut, though the exact print placement and structure are not perfect. Identity, pose, and background are well preserved. Minor artifacts appear around fabric edges and hands, but overall it remains realistic.",8.1,1671,386
p020+p021,FAL,48,gpt-5.5,3,4,5,4,4,4,"Sweater color/knit is similar to the reference but the cut and details differ, and the full outfit is not faithfully reproduced. Person identity, pose, and market background are largely preserved. Minor texture/hand imperfections, but overall photo-realistic.",10.52,1816,500
p030+dualuse_queen_latifah_gown_stage,FAL,48,gpt-5.5,3,4,2,3,3,4,"Garment captures the tan patterned robe and black tied outfit but details, cut, and neck area are not exact. Identity is mostly preserved. Pose/framing changed significantly with one arm lowered and more body shown. Some texture/hand/neck artifacts, but overall fairly photo-like.",10.95,1555,444
p028+g015,FAL,48,gpt-5.5,2,5,5,3,4,3,"Garment color is close but the reference is a flowing satin spaghetti-strap maxi slip dress, while the result looks like a fitted black bodysuit/dress and retains the original taupe sleeves. Identity, pose, and background are well preserved, with some underarm/garment blending artifacts.",11.71,1671,441
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,A100,49,gpt-5.5,3,5,5,3,4,4,"Reference is a strapless black textured dress; output matches the black strapless textured top reasonably but adds/retains odd sleeve-like fabric on the forearms and lacks visible key full-dress details such as the belt, back zipper and slit. Identity, pose and studio background are well preserved, with minor artifacts around the arms/clothing.",7.56,1613,364
p030+g024,FAL,48,gpt-5.5,2,5,5,3,4,4,"Reference outfit is only partially reproduced: striped black sweater sleeves/collar and blue pleats appear, but the sweater body and skirt placement/cut are incorrect and merged unnaturally. Person, pose, and background remain very close to the original. Some awkward garment seams/structure, but hands are mostly anatomically acceptable and the image is fairly photo-realistic.",9.21,1786,424
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,A100,49,gpt-5.5,2,4,5,3,4,3,"Top captures the white cropped blazer fairly well, but the reference's long white skirt is changed into pants and the lower silhouette is not exact. Identity and background are mostly preserved; some waist/clothing edges and shoes look artificial.",8.5,1555,389
dualuse_lp_floral_kimono_set+g005,A100,49,gpt-5.5,2,3,4,2,4,2,"Reference sports outfit is only partially applied: black shirt and gray shorts appear, but logos/details are wrong, shoes are missing, and much of the original patterned garment remains. Face/hat are mostly preserved, pose/background mostly unchanged, but there are clear artifacts around legs, seams, and leftover fabric.",8.89,1903,423
